SDO_ID,SDO_Name,Geogr_Laenge,Geogr_Breite,Hoehe_ueber_NN
1420,Frankfurt/Main,8.5213,50.0259,100
5275,Waghäusel-Kirrlach,8.5374,49.2445,105
1580,Geisenheim,7.9549,49.9859,110
5731,Wutöschingen-Ofteringen,8.3801,47.6783,398
4175,Rheinfelden,7.7721,47.559,282
6263,Singen,8.8219,47.7738,445
4169,Rheinau-Memprechtshofen,7.9939,48.6703,131
5692,Worms,8.3659,49.6051,88
259,Müllheim,7.6387,47.8064,273
3137,Mainz-Lerchenberg (ZDF),8.2139,49.9656,195
5906,Mannheim,8.5585,49.5062,98
2812,Lahr,7.828,48.3647,155
4177,Rheinstetten,8.3301,48.9726,116
