id,value,date
1420,5.4,2016-01-01
1420,2.8,2016-01-02
1420,3.5,2016-01-03
1420,3.6,2016-01-04
1420,5.3,2016-01-05
1420,5.3,2016-01-06
1420,5.3,2016-01-07
1420,3.5,2016-01-08
1420,1.2,2016-01-09
1420,5.9,2016-01-10
1420,5.1,2016-01-11
1420,5.4,2016-01-12
1420,4.9,2016-01-13
1420,2.6,2016-01-14
1420,2.5,2016-01-15
1420,2.2,2016-01-16
1420,-0.3,2016-01-17
1420,-4.7,2016-01-18
1420,-5.7,2016-01-19
1420,-2.9,2016-01-20
1420,-0.9,2016-01-21
1420,-3.6,2016-01-22
1420,2.7,2016-01-23
1420,3.4,2016-01-24
1420,5.7,2016-01-25
1420,7.1,2016-01-26
1420,10.9,2016-01-27
1420,8.1,2016-01-28
1420,5,2016-01-29
1420,7.2,2016-01-30
1420,5.9,2016-01-31
1420,12.6,2016-02-01
1420,10.3,2016-02-02
1420,5,2016-02-03
1420,4.3,2016-02-04
1420,6.5,2016-02-05
1420,7.4,2016-02-06
1420,6,2016-02-07
1420,7.5,2016-02-08
1420,7.3,2016-02-09
1420,4.2,2016-02-10
1420,4.4,2016-02-11
1420,2.8,2016-02-12
1420,2.2,2016-02-13
1420,6.5,2016-02-14
1420,3.4,2016-02-15
1420,0.8,2016-02-16
1420,2,2016-02-17
1420,2.3,2016-02-18
1420,0.6,2016-02-19
1420,4,2016-02-20
1420,11.9,2016-02-21
1420,10.7,2016-02-22
1420,2.7,2016-02-23
1420,2.5,2016-02-24
1420,1.4,2016-02-25
1420,1.6,2016-02-26
1420,2.9,2016-02-27
1420,2.9,2016-02-28
1420,3.8,2016-02-29
1420,2.8,2016-03-01
1420,4.9,2016-03-02
1420,2.9,2016-03-03
1420,2.1,2016-03-04
1420,4.8,2016-03-05
1420,2.8,2016-03-06
1420,2.7,2016-03-07
1420,0.7,2016-03-08
1420,2.6,2016-03-09
1420,4.3,2016-03-10
1420,5.8,2016-03-11
1420,4.9,2016-03-12
1420,4.9,2016-03-13
1420,4.8,2016-03-14
1420,4.3,2016-03-15
1420,5.9,2016-03-16
1420,6.1,2016-03-17
1420,6,2016-03-18
1420,5.6,2016-03-19
1420,5.9,2016-03-20
1420,7.5,2016-03-21
1420,8.1,2016-03-22
1420,8.2,2016-03-23
1420,8.2,2016-03-24
1420,6.4,2016-03-25
1420,8.8,2016-03-26
1420,7.9,2016-03-27
1420,7.3,2016-03-28
1420,9.2,2016-03-29
1420,9.3,2016-03-30
1420,8,2016-03-31
1420,7.2,2016-04-01
1420,9.7,2016-04-02
1420,14.3,2016-04-03
1420,14,2016-04-04
1420,11.6,2016-04-05
1420,11.9,2016-04-06
1420,9.7,2016-04-07
1420,7.3,2016-04-08
1420,8.8,2016-04-09
1420,12.1,2016-04-10
1420,12.2,2016-04-11
1420,11.5,2016-04-12
1420,9.3,2016-04-13
1420,11.5,2016-04-14
1420,12.8,2016-04-15
1420,11.8,2016-04-16
1420,8.8,2016-04-17
1420,8.5,2016-04-18
1420,7.8,2016-04-19
1420,10,2016-04-20
1420,12.8,2016-04-21
1420,13.2,2016-04-22
1420,7.2,2016-04-23
1420,3.7,2016-04-24
1420,4.9,2016-04-25
1420,5.3,2016-04-26
1420,4.9,2016-04-27
1420,5.1,2016-04-28
1420,7.3,2016-04-29
1420,10.2,2016-04-30
1420,12.9,2016-05-01
1420,14.1,2016-05-02
1420,10.4,2016-05-03
1420,9.9,2016-05-04
1420,13.2,2016-05-05
1420,17,2016-05-06
1420,19.4,2016-05-07
1420,19.8,2016-05-08
1420,19.8,2016-05-09
1420,18.1,2016-05-10
1420,18.8,2016-05-11
1420,17.1,2016-05-12
1420,15.2,2016-05-13
1420,10.6,2016-05-14
1420,9.2,2016-05-15
1420,9.7,2016-05-16
1420,11.6,2016-05-17
1420,14.7,2016-05-18
1420,13.8,2016-05-19
1420,14.5,2016-05-20
1420,17.3,2016-05-21
1420,18.9,2016-05-22
1420,14,2016-05-23
1420,11.5,2016-05-24
1420,12.3,2016-05-25
1420,16.3,2016-05-26
1420,17.4,2016-05-27
1420,18.2,2016-05-28
1420,17.9,2016-05-29
